step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
187,CASH_IN,46291.77,C229926567,2098868.16,2145159.92,C851786608,532456.02,486164.25,0,0
42,CASH_OUT,149509.45,C156437847,0.0,0.0,C1660179148,183524.95,333034.4,0,0
98,CASH_OUT,8055.06,C1544350298,8055.06,0.0,C912405348,0.0,8055.06,1,0
550,TRANSFER,342309.91,C662184778,342309.91,0.0,C1740503020,0.0,0.0,1,0
586,CASH_OUT,2581549.92,C648614053,2581549.92,0.0,C213455810,0.0,2581549.92,1,0
528,CASH_OUT,501101.41,C658485772,501101.41,0.0,C1576836568,561058.61,1062160.03,1,0
283,PAYMENT,22762.48,C1117270077,245.0,0.0,M1967233738,0.0,0.0,0,0
275,CASH_OUT,2607790.58,C234957990,2607790.58,0.0,C1475995578,7640097.83,10247888.41,1,0
325,CASH_OUT,483243.48,C1272963877,0.0,0.0,C1042869702,484816.47,1144140.73,0,0
228,CASH_OUT,285546.54,C847880250,1040.0,0.0,C464229069,0.0,285546.54,0,0
693,TRANSFER,1018645.2,C213913405,1018645.2,0.0,C72963168,0.0,0.0,1,0
379,CASH_OUT,357036.33,C1087181071,0.0,0.0,C1979192538,611557.35,968593.67,0,0
379,CASH_OUT,83711.37,C799237536,131577.25,47865.88,C850541533,149777.01,233488.38,0,0
346,TRANSFER,516355.22,C1361333152,516355.22,0.0,C46072537,0.0,0.0,1,0
305,TRANSFER,10000000.0,C1660275627,12321633.57,2321633.57,C851819118,0.0,0.0,1,0
286,PAYMENT,4363.56,C1698034527,162527.0,158163.44,M478713690,0.0,0.0,0,0
16,CASH_OUT,121626.82,C828364266,121626.82,0.0,C101179743,653744.34,775371.16,1,0
372,CASH_IN,147695.46,C283914931,108281.0,255976.46,C715033501,6852729.99,6705034.53,0,0
19,CASH_OUT,56394.96,C2147082734,1077.0,0.0,C2027504180,0.0,56394.96,0,0
234,PAYMENT,10601.56,C394761269,0.0,0.0,M1145962516,0.0,0.0,0,0
323,PAYMENT,23733.68,C961107206,507197.17,483463.49,M442734236,0.0,0.0,0,0
182,CASH_IN,161135.47,C778381075,10219.0,171354.47,C1366647041,0.0,0.0,0,0
25,CASH_OUT,249159.26,C1962232117,249159.26,0.0,C750661006,285997.41,535156.67,1,0
273,CASH_OUT,65744.6,C1069348795,0.0,0.0,C1453250811,369727.67,435472.26,0,0
14,CASH_OUT,94080.46,C541393533,0.0,0.0,C2107063643,159655.5,253735.96,0,0
444,TRANSFER,1186725.39,C1047335023,1186725.39,0.0,C1970958530,0.0,0.0,1,0
